marque,modele,kilometrage,carburant,transmission,puissance,nb_ancien_proprietaire,classe_vehicule,couleur,sellerie,emission_CO2,crit_air,usage_commerciale_anterieure,annee,prix_neuf,Mise_en_circulation
CITROEN,CITROEN C5 AIRCROSS,10796.0,Diesel,Boite de vitesse automatique,131,Inconnu,SUV,Bleu,Alcantara ,145.0,Crit'Air 2,Non,2023,42675.0,09/09/2023
RENAULT,RENAULT SCENIC,64162.0,Essence,Boite de vitesse manuelle,160,4,Monospace,Gris,Cuir ,136.0,Crit'Air 1,Oui,2019,36100.0,09/04/2019
RENAULT,RENAULT CAPTUR,45254.0,Essence,Boite de vitesse automatique,140,3,SUV,Blanc,Tissu ,135.0,Crit'Air 1,Non,2021,28216.666666666668,09/09/2021
PEUGEOT,PEUGEOT 2008,40984.0,Essence,Boite de vitesse automatique,130,1,SUV,Blanc,Tissu ,108.0,Crit'Air 1,Non,2019,23550.0,09/11/2019
SEAT,SEAT ATECA,35304.0,Essence,Boite de vitesse automatique,150,Inconnu,SUV,Blanc,Tissu ,151.0,Crit'Air 1,Non,2023,38553.0,09/02/2023
PEUGEOT,PEUGEOT 2008,37269.0,Essence,Boite de vitesse manuelle,130,1,SUV,Blanc,Mi-cuir ,122.0,Crit'Air 1,Unknown,2019,26200.0,09/01/2019
VOLKSWAGEN,VOLKSWAGEN T-ROC,94288.0,Diesel,Boite de vitesse automatique,150,2,SUV,Noir,Tissu ,145.0,Crit'Air 2,Oui,2021,37990.0,09/01/2021
HONDA,HONDA CIVIC,43822.0,Essence,Boite de vitesse manuelle,130,2,Berline,Rouge,Tissu ,117.0,Crit'Air 1,Non,2017,25590.0,09/03/2017
SKODA,SKODA KAROQ,47659.0,Essence,Boite de vitesse automatique,150,2,SUV,Gris,Tissu ,149.0,Crit'Air 1,Non,2021,40080.0,09/07/2021
MERCEDES,MERCEDES-BENZ CLASSE GLC,84493.0,Hybride,Boite de vitesse automatique,320,3,SUV,Gris,Cuir ,64.0,Crit'Air 1,Non,2018,59900.0,09/03/2018
RENAULT,RENAULT GRAND SCENIC,91238.0,Essence,Boite de vitesse automatique,160,Inconnu,Monospace,Gris,Mi-cuir ,132.0,Crit'Air 1,Non,2019,38675.0,09/02/2019
RENAULT,RENAULT CLIO,95723.0,Diesel,Boite de vitesse manuelle,90,2,Citadine,Blanc,Tissu ,82.0,Crit'Air 2,Non,2018,21020.0,09/01/2018
RENAULT,RENAULT CLIO,73548.0,Essence,Boite de vitesse manuelle,118,1,Break,Rouge,Mi-cuir ,118.0,Crit'Air 1,Non,2018,20450.0,09/01/2018
CITROEN,CITROEN C3,78979.0,Essence,Boite de vitesse manuelle,82,1,Citadine,Blanc,Tissu ,130.0,Crit'Air 1,Non,2020,19200.0,09/09/2020
MERCEDES,MERCEDES-BENZ CLASSE A,55849.0,Diesel,Boite de vitesse automatique,90,2,Berline,Noir,Alcantara ,101.0,Crit'Air 2,Non,2017,36250.0,09/09/2017
AUDI,AUDI A1,17418.0,Essence,Boite de vitesse automatique,95,2,Citadine,Noir,Mi-cuir ,103.0,Crit'Air 1,Non,2018,27420.0,09/07/2018
NISSAN,NISSAN QASHQAI,53877.0,Essence,Boite de vitesse automatique,115,2,SUV,Blanc,Tissu ,129.0,Crit'Air 1,Non,2017,28625.0,09/03/2017
SKODA,SKODA OCTAVIA,60774.0,Diesel,Boite de vitesse automatique,116,1,Break,Gris,Tissu ,117.0,Crit'Air 2,Non,2022,36165.0,09/12/2022
RENAULT,RENAULT CAPTUR,32433.0,Essence,Boite de vitesse automatique,140,2,SUV,Blanc,Mi-cuir ,134.0,Crit'Air 1,Non,2022,28950.0,09/05/2022
RENAULT,RENAULT MÉGANE,85533.0,Essence,Boite de vitesse automatique,140,3,Break,Noir,Mi-cuir ,125.0,Crit'Air 1,Oui,2019,30700.0,09/01/2019
AUDI,AUDI Q3 SPORTBACK,71659.0,Diesel,Boite de vitesse automatique,150,4,SUV,Noir,Mi-cuir ,150.0,Crit'Air 2,Oui,2021,50383.125,09/06/2021
MERCEDES,MERCEDES-BENZ GLA,64174.0,Essence,Boite de vitesse automatique,156,2,SUV,Gris,Cuir ,142.0,Crit'Air 1,Non,2019,43350.0,09/07/2019
VOLKSWAGEN,VOLKSWAGEN T-ROC,71774.0,Essence,Boite de vitesse automatique,150,1,SUV,Blanc,Mi-cuir ,151.0,Crit'Air 1,Non,2022,43095.0,09/01/2022
TOYOTA,TOYOTA AYGO,39331.0,Essence,Boite de vitesse manuelle,69,1,Citadine,Rouge,Tissu ,95.0,Crit'Air 1,Non,2018,12450.0,09/03/2018
DS,DS AUTOMOBILES DS3,71872.0,Essence,Boite de vitesse automatique,110,2,Citadine,Gris,Tissu ,114.0,Crit'Air 1,Non,2019,24900.0,09/02/2019
SUZUKI,SUZUKI SX4 S-CROSS,35188.0,Essence,Boite de vitesse automatique,129,2,SUV,Bleu,Tissu ,129.0,Crit'Air 1,Unknown,2021,28890.0,09/11/2021
PEUGEOT,PEUGEOT 308,39032.0,Essence,Boite de vitesse manuelle,110,2,Berline,Blanc,Tissu ,132.0,Crit'Air 1,Non,2020,25525.0,09/11/2020
